billID,item,quantity
1017,Tsingtao,4
1018,"Amstel Light",4
1018,"Carling Black Label",3
1018,Coors,3
1018,Peroni,5
1019,"Chimay Blue Top",4
1019,"Ichnusa beer",4
1019,"Potato skins",1
1019,Tsingtao,2
102,"Club soda",3
102,Dreher,1
102,Kirin,5
102,Lowenbrau,5
1020,Carlsberg,3
1020,Lowenbrau,2
1020,"Potato skins",5
1021,"Erdinger Pikantus",5
1022,Guinness,3
1022,Sapporo,5
1022,"Tater tots",2
1022,Tuborg,1
1023,"Pilsner Urquell",5
1024,"Labatts Blue",3
1024,Timisoreana,3
1025,Hite,1
1026,"Carling Black Label",5
1026,"Efes Dark",3
1029,Caffrey's,2
1029,Lasko,5
103,"Old Speckled Hen",4
103,Peroni,4
103,"Root beer",4
1030,Coors,2
1031,"Old Speckled Hen",5
1031,"Pabst Blue Ribbon",1
1031,Warsteiner,1
1032,Carlsberg,5
1032,"Chimay Blue Top",3
1032,Peroni,3
1033,Timisoreana,3
1034,"Chimay Blue Top",5
1034,"Efes Dark",3
1034,"Old Speckled Hen",2
1034,"Pabst Blue Ribbon",5
1035,Cheeseburger,4
1035,Lowenbrau,3
1035,"Singha beer",3
1036,Cheeseburger,5
1036,"Mythos Sindos",3
1037,Lasko,3
1037,Tuborg,5
1038,Guinness,1
1038,"Labatts Blue",4
1038,Pretzel,5
1038,Quesadilla,4
1039,Kronenbourg,2
1039,"Labatts Blue",3
104,Quesadilla,5
104,"Tiger beer",3
1041,"Sweet tea",1
1042,Cheeseburger,3
1043,Carlsberg,5
1043,Sprite,1
1044,Lowenbrau,5
1044,"Singha beer",3
1044,Union,1
1045,Pretzel,5
1045,"Tiger beer",4
1046,Dreher,2
1047,Lowenbrau,4
1047,"Mozoralla sticks",5
1048,Budweiser,3
1048,Timisoreana,2
1049,Peroni,3
105,Coors,3
105,"Coreff Ambree",5
105,"Erdinger Pikantus",1
105,Grolsch,3
1050,Tsingtao,3
1051,"Coreff Ambree",5
1051,"Potato skins",5
1052,"Mozoralla sticks",1
1052,Quesadilla,5
1052,Sprite,4
1053,Kirin,5
1054,"Budvar Svetly Lezak",3
1055,Lowenbrau,4
1055,"OB Golden Lager",3
1055,"Paulaner Hefe",4
1055,"Potato skins",4
1056,"Dos Equis",3
1056,Kronenbourg,1
1057,"Budvar Svetly Lezak",1
1057,"Coca cola",1
1058,"Leffe Blonde",1
1059,"Coreff Ambree",4
1059,"Pilsner Urquell",3
106,"Harp Lager",5
106,Heineken,4
1060,Carlsberg,5
1060,"Coreff Ambree",3
1060,Quesadilla,5
1061,Lowenbrau,1
1062,Cheeseburger,5
1062,"Mythos Sindos",4
1062,"Sweet tea",3
1063,Cheeseburger,5
1063,"Club soda",1
1063,Lowenbrau,4
1063,"Sweet tea",3
1064,"Birra Moretti",2
1064,"Chimay Blue Top",4
1064,"Pabst Blue Ribbon",2
1065,Carlsberg,5
1065,"Sweet tea",4
1066,"Mozoralla sticks",4
1066,Sprite,3
1067,"Singha beer",3
1069,"Newcastle Brown Ale",2
1069,Peroni,4
107,"Chimay Blue Top",1
107,"Ichnusa beer",2
1070,Dreher,2
1070,Guinness,1
1070,"Pilsner Urquell",5
1070,Pretzel,2
1071,Hite,5
1071,Tecate,1
1072,Kirin,3
1072,"Stiegl Bier",5
1073,Heineken,3
1073,Sprite,5
1074,Lowenbrau,5
1074,"Old Speckled Hen",4
1075,Guinness,3
1075,"Potato skins",5
1076,"Birra Moretti",1
1077,Caffrey's,1
1078,Carlsberg,2
1078,"Potato skins",5
1079,Coors,1
1079,"Onion rings",4
1079,Timisoreana,2
108,"Chicken wings",5
1080,Heineken,4
1080,"OB Golden Lager",5
1081,"Coreff Ambree",3
1081,"Mozoralla sticks",4
1081,"Potato skins",5
1082,Cheeseburger,3
1082,Lowenbrau,2
1082,"Singha beer",1
1083,Budweiser,2
1083,Dreher,1
1084,"Beer Chang",5
1084,Caffrey's,1
1084,Pretzel,2
1085,"Chicken wings",1
1085,"French fries",3
1086,Duvel,5
1086,Sprite,1
1087,Grolsch,1
1087,Peroni,1
1087,"Pilsner Urquell",1
1087,Sprite,1
1088,Dreher,4
1088,"Pabst Blue Ribbon",2
109,"Beer Chang",5
109,Caffrey's,5
1090,"Newcastle Brown Ale",3
1090,"Stiegl Bier",1
1090,Warsteiner,4
1091,Kronenbourg,3
1092,"Carling Black Label",3
1092,Warsteiner,3
1093,"Leffe Blonde",2
1093,Pretzel,2
1095,"Tater tots",4
1096,"Carling Black Label",3
1096,Cass,4
1096,Cheeseburger,1
1096,"Labatts Blue",2
1097,Budweiser,4
1098,"Coreff Ambree",2
1098,Tsingtao,1
1099,"Chicken wings",2
1099,"San Miguel Pale Pilsen",4
1099,Union,1
11,"French fries",1
11,"Tiger beer",5
110,Lasko,1
110,"Sweet tea",3
1100,Carlsberg,2
1101,"Ichnusa beer",2
1101,Peroni,4
1101,"San Miguel Pale Pilsen",4
1102,"Carling Black Label",5
1102,Tuborg,5
1103,"Chimay Blue Top",2
1103,"Sweet tea",3
1104,Heineken,3
1105,Caffrey's,3
1105,Coors,1
1105,"Singha beer",4
1105,Timisoreana,2
1106,Grolsch,5
1106,"Leffe Blonde",3
1106,"Stiegl Bier",4
1107,"Club soda",2
1107,"OB Golden Lager",5
1107,"Pabst Blue Ribbon",1
1107,"San Miguel Pale Pilsen",5
1108,Dreher,5
1108,Heineken,1
1109,Caffrey's,4
1109,Kirin,4
1109,Kronenbourg,2
1109,"Stiegl Bier",4
111,"Gambrinus Premium",4
111,"Newcastle Brown Ale",5
111,Tsingtao,3
1110,"Budvar Svetly Lezak",4
1110,"Coca cola",1
1110,Coors,3
1110,"Singha beer",5
1111,Carlsberg,3
1111,Lowenbrau,2
1111,Quesadilla,4
1111,"Sweet tea",2
1112,"Chimay Blue Top",3
1112,"Coca cola",4
1112,"Coreff Ambree",4
1113,Timisoreana,1
1114,"Birra Moretti",2
1114,Timisoreana,2
1115,Budweiser,2
1115,Tsingtao,5
1116,Lasko,1
1116,"Stiegl Bier",5
1117,Lowenbrau,1
1118,Kronenbourg,5
1119,Hite,1
112,"Amstel Light",5
112,"Labatts Blue",3
112,"Tiger beer",3
1121,Hite,5
1121,"Pabst Blue Ribbon",4
1121,Peroni,3
1122,Duvel,3
1122,Guinness,5
1122,Heineken,1
1122,"Tater tots",3
1123,"Pilsner Urquell",3
1123,Union,5
1124,Lowenbrau,1
1124,"Old Speckled Hen",1
1125,Carlsberg,5
1125,"Ichnusa beer",2
1125,"Paulaner Hefe",3
1126,"Carling Black Label",2
1127,Cheeseburger,1
1127,"Mozoralla sticks",4
1128,Lasko,3
1128,"Singha beer",2
1129,"Amstel Light",4
1129,Asahi,1
1129,Cheeseburger,5
113,"Singha beer",2
113,Sprite,2
1130,"Mythos Sindos",1
1131,Kirin,5
1131,"Root beer",1
1132,Budweiser,4
1132,"Efes Dark",2
1132,"Leffe Blonde",3
1132,Tecate,1
1133,"Dos Equis",5
1133,Duvel,3
1133,"Pilsner Urquell",3
1134,"Amstel Light",5
1134,Carlsberg,2
1134,Kirin,4
1134,"Tater tots",4
1135,"Carling Black Label",3
1135,"Singha beer",2
1135,Warsteiner,2
1136,Tuborg,4
1137,"Coreff Ambree",5
1137,"OB Golden Lager",5
1137,"San Miguel Pale Pilsen",3
1138,"Stiegl Bier",3
1139,"Coreff Ambree",4
1139,"Leffe Blonde",2
1139,"Mythos Sindos",4
114,"Club soda",4
1140,Asahi,3
1140,Budweiser,2
1140,Pretzel,4
1141,Grolsch,1
1141,Hite,4
1142,"Budvar Svetly Lezak",2
1142,"Efes Dark",3
1143,Duvel,1
1143,Union,3
1144,"Labatts Blue",3
1144,Sprite,2
1145,Nachos,2
1146,Dreher,2
1146,"Old Speckled Hen",3
1147,"Tater tots",2
1148,Asahi,2
1148,"Tiger beer",2
1149,Caffrey's,5
115,"Harp Lager",5
115,"Ichnusa beer",3
115,Tsingtao,5
1150,"Newcastle Brown Ale",3
1150,"OB Golden Lager",1
1151,"Carling Black Label",5
1152,"Leffe Blonde",2
1152,Nachos,4
1153,Cheeseburger,5
1153,Dreher,5
1154,"Beer Chang",1
1154,"Labatts Blue",3
1155,"Potato skins",4
1155,Tsingtao,1
1156,Cheeseburger,3
1156,"Erdinger Pikantus",3
1156,"Old Speckled Hen",5
1156,Union,2
1157,"Sweet tea",5
1158,Lasko,1
1158,Lowenbrau,3
1158,"Singha beer",2
1158,Sprite,3
116,"Coreff Ambree",1
116,Lowenbrau,5
116,"Mozoralla sticks",5
116,"Stiegl Bier",2
1160,"Pilsner Urquell",5
1160,Quesadilla,3
1160,"San Miguel Pale Pilsen",3
1161,"Amstel Light",1
1162,Quesadilla,2
1163,"Ichnusa beer",2
1163,"OB Golden Lager",2
1164,Coors,4
1165,"Mozoralla sticks",5
1166,"Harp Lager",3
1166,"Labatts Blue",2
1166,"Newcastle Brown Ale",4
1166,Tecate,2
1167,"Budvar Svetly Lezak",1
1167,"Newcastle Brown Ale",5
1167,"Onion rings",3
1169,"Ichnusa beer",2
1169,Sprite,4
1170,Carlsberg,3
1170,"Coreff Ambree",2
1170,"Erdinger Pikantus",5
1171,Budweiser,4
1171,"Chimay Blue Top",3
1171,"Dos Equis",4
1171,Guinness,1
1172,"Beer Chang",3
1172,"Newcastle Brown Ale",1
1172,"Stiegl Bier",4
1173,Budweiser,5
1173,Dreher,4
1173,Kirin,5
1173,"Old Speckled Hen",4
1175,Cheeseburger,3
1175,Lowenbrau,1
1175,"Singha beer",2
1176,"Beer Chang",5
1176,"Chimay Blue Top",3
1176,Heineken,3
1176,"OB Golden Lager",3
1177,"Potato skins",1
1177,Timisoreana,2
1178,Duvel,3
1179,"Coreff Ambree",2
1179,"OB Golden Lager",1
118,Dreher,2
1180,"Budvar Svetly Lezak",4
1180,"Carling Black Label",2
1180,"Newcastle Brown Ale",1
1181,"Pabst Blue Ribbon",3
1182,"Erdinger Pikantus",3
1182,Quesadilla,4
1182,"Sweet tea",2
1183,Guinness,2
1183,Heineken,5
1184,"Chicken wings",5
1185,"Gambrinus Premium",1
1186,"Chimay Blue Top",1
1186,"Club soda",1
1187,Caffrey's,5
1187,Cheeseburger,1
1187,Guinness,3
1188,Cass,2
1188,"Ichnusa beer",2
1188,Quesadilla,4
1189,Caffrey's,4
1189,"Erdinger Pikantus",2
1189,"Old Speckled Hen",3
119,Caffrey's,2
1190,Lowenbrau,5
1190,"Tiger beer",2
1192,Kirin,1
1192,"Labatts Blue",4
1192,Sprite,4
1192,"Sweet tea",4
1193,Carlsberg,5
1193,Sprite,3
1193,"Sweet tea",1
1194,"Coreff Ambree",3
1195,"Dos Equis",5
1195,Dreher,3
1195,"Onion rings",3
1195,"Potato skins",3
1196,"Mozoralla sticks",1
1196,"Newcastle Brown Ale",3
1196,"OB Golden Lager",1
1196,"Paulaner Hefe",3
1197,Tsingtao,4
1198,"Singha beer",5
1199,Kirin,2
1199,Sapporo,5
1199,Timisoreana,2
12,Asahi,4
12,"Mythos Sindos",2
12,"Pabst Blue Ribbon",4
12,Tsingtao,4
120,"Stiegl Bier",5
1200,"Budvar Svetly Lezak",5
1200,"Newcastle Brown Ale",5
1200,"Singha beer",4
1201,"Efes Dark",3
1201,"San Miguel Pale Pilsen",5
1201,Tuborg,5
1202,Lowenbrau,4
1202,"San Miguel Pale Pilsen",5
1202,"Tiger beer",3
1202,Tuborg,3
1203,"French fries",3
1203,"Tater tots",3
1204,"Dos Equis",2
1204,"Mythos Sindos",5
1204,Union,5
1205,"French fries",2
1205,"Paulaner Hefe",5
1205,"Pilsner Urquell",1
1205,"San Miguel Pale Pilsen",5
1206,"Harp Lager",4
1206,Lasko,3
1206,"Leffe Blonde",5
1206,"OB Golden Lager",4
1207,"Paulaner Hefe",1
1208,Kronenbourg,3
1208,Nachos,4
1208,Sprite,3
1209,"OB Golden Lager",5
1209,"Potato skins",5
1209,Pretzel,5
121,"Club soda",2
121,Dreher,3
121,"Mozoralla sticks",1
121,"Newcastle Brown Ale",1
1210,"Leffe Blonde",5
1210,"OB Golden Lager",4
1211,"Amstel Light",5
1211,"Sweet tea",5
1212,Duvel,3
1212,Grolsch,1
1212,Sprite,1
1214,"Chimay Blue Top",4
1214,"Efes Dark",2
1214,"Pabst Blue Ribbon",1
1215,"Coreff Ambree",1
1215,"Mythos Sindos",3
1216,"Labatts Blue",4
1217,Carlsberg,1
1217,Lowenbrau,1
1218,Heineken,2
122,Hite,1
122,Pretzel,1
122,Sprite,2
122,Tsingtao,1
1220,Cass,2
1221,"Amstel Light",3
1221,"Mozoralla sticks",1
1222,Warsteiner,1
1223,"Amstel Light",3
1223,"Birra Moretti",1
1223,"Mythos Sindos",5
1224,"Birra Moretti",4
1225,"Labatts Blue",5
1225,Lasko,4
1226,Cass,3
1226,Kirin,5
1226,Pretzel,4
1227,"Chimay Blue Top",3
1227,"Coca cola",3
1228,"Birra Moretti",1
1228,"Pilsner Urquell",1
1229,Kirin,4
123,Coors,2
123,"Onion rings",2
123,"Singha beer",3
1230,"Carling Black Label",4
1230,Kirin,1
1230,Quesadilla,4
1231,Carlsberg,5
1231,"Leffe Blonde",4
1232,Lasko,2
1232,Quesadilla,3
1232,Sapporo,4
1233,"Chicken wings",4
1233,Kirin,1
1233,Quesadilla,1
1234,Union,3
1235,"Carling Black Label",5
1235,"Coca cola",2
1236,"Chicken wings",3
1236,"Coreff Ambree",5
1236,"Paulaner Hefe",4
1237,Kirin,3
1237,Timisoreana,3
1238,"Harp Lager",1
1238,"Sweet tea",1
1239,Caffrey's,5
1239,"Potato skins",4
124,"Erdinger Pikantus",2
124,Sprite,1
1240,Cass,1
1241,Heineken,1
1242,Cheeseburger,4
1242,"Club soda",1
1242,Sprite,5
1243,Caffrey's,4
1243,Coors,2
1244,"Birra Moretti",3
1244,"Chimay Blue Top",1
1244,"Sweet tea",3
1245,Carlsberg,1
1245,Sprite,5
1246,Caffrey's,1
1246,Cheeseburger,5
1247,"Club soda",2
1248,"Potato skins",3
1249,Lowenbrau,5
1249,Sprite,1
125,"Club soda",2
1250,"Ichnusa beer",4
1250,"Labatts Blue",1
1250,Timisoreana,3
1250,Union,1
1251,Coors,3
1252,Carlsberg,2
1252,"Erdinger Pikantus",2
1252,"Singha beer",2
1252,"Sweet tea",3
1253,"Dos Equis",2
1254,Cheeseburger,2
1254,"Club soda",1
1254,"Old Speckled Hen",4
1256,"Potato skins",2
1256,Sprite,3
1256,"Stiegl Bier",3
1257,Cass,1
1257,Pretzel,4
1258,"Stiegl Bier",1
1258,"Sweet tea",3
1259,Duvel,2
1259,Sapporo,3
126,Lasko,2
1260,"Coca cola",1
1260,Nachos,5
1260,"Newcastle Brown Ale",3
1261,"Beer Chang",5
1261,Cass,3
1261,"Mozoralla sticks",5
1261,"Old Speckled Hen",4
1262,"Budvar Svetly Lezak",5
1263,"Harp Lager",2
1263,"San Miguel Pale Pilsen",2
1264,"Ichnusa beer",4
1265,Cass,2
1265,Kronenbourg,1
1266,"Beer Chang",3
1266,Caffrey's,2
1266,Hite,4
1267,"Labatts Blue",5
1267,"Mythos Sindos",2
1268,Warsteiner,3
1269,"Harp Lager",4
1269,"Labatts Blue",2
1269,"Tater tots",4
127,Tsingtao,1
1270,"Amstel Light",3
1270,"Root beer",3
1271,"Ichnusa beer",2
1271,"Newcastle Brown Ale",2
1271,Quesadilla,5
1272,"Erdinger Pikantus",4
1273,"Newcastle Brown Ale",3
1274,"Ichnusa beer",2
1274,"Leffe Blonde",3
1274,"Pabst Blue Ribbon",2
1275,Asahi,1
1275,"Onion rings",3
1276,Grolsch,5
1276,Guinness,5
1276,Lowenbrau,3
1276,Nachos,5
1277,Budweiser,2
1277,"Gambrinus Premium",3
1277,"San Miguel Pale Pilsen",4
1278,"Coreff Ambree",2
1279,Asahi,3
128,"Coreff Ambree",3
1280,"Dos Equis",1
1282,"Beer Chang",2
1282,"Club soda",3
1282,Sprite,5
1283,Cheeseburger,3
1283,"Harp Lager",5
1283,"Tiger beer",3
1284,"Pabst Blue Ribbon",1
1285,"Beer Chang",3
1285,"Mozoralla sticks",3
1286,Coors,2
1287,Kronenbourg,5
1287,"Potato skins",2
1288,Tecate,3
1289,Budweiser,2
1289,Timisoreana,5
1289,Tsingtao,5
129,Budweiser,2
129,"Coreff Ambree",2
129,Timisoreana,3
1290,Cheeseburger,4
1290,Dreher,1
1290,Pretzel,5
1291,"Efes Dark",3
1293,"Club soda",2
1293,"OB Golden Lager",3
1294,"Carling Black Label",1
1294,"Old Speckled Hen",5
1294,Warsteiner,4
1295,Coors,4
1295,Heineken,3
1296,Lasko,2
1297,"Birra Moretti",5
1297,Hite,2
1298,"Harp Lager",4
1298,"OB Golden Lager",2
1299,"Chicken wings",5
1299,Hite,3
1299,Tsingtao,5
13,"Birra Moretti",2
13,"Budvar Svetly Lezak",5
13,Hite,3
130,"Coreff Ambree",5
130,Dreher,3
130,Guinness,3
130,"Tater tots",5
1300,Budweiser,3
1300,"Gambrinus Premium",4
1300,Grolsch,4
1300,"Leffe Blonde",3
1301,Kronenbourg,5
1302,Dreher,5
1303,"Coca cola",4
1303,"Mythos Sindos",2
1304,"Efes Dark",1
1305,"French fries",4
1305,Lasko,5
1305,"Paulaner Hefe",3
1306,"Budvar Svetly Lezak",2
1306,"Labatts Blue",4
1306,"Pilsner Urquell",1
1306,Sprite,5
1307,"Chicken wings",1
1308,Caffrey's,4
1308,"Leffe Blonde",2
1308,"Pilsner Urquell",5
1309,"Amstel Light",5
131,Tuborg,5
1310,Sprite,3
1311,"Chimay Blue Top",4
1311,"OB Golden Lager",1
1311,"Tiger beer",4
1312,"Chimay Blue Top",3
1313,"Coreff Ambree",4
1313,"Ichnusa beer",2
1313,"Pilsner Urquell",5
1313,"Tiger beer",2
1314,"Old Speckled Hen",4
1314,"Singha beer",1
1314,"Sweet tea",1
1316,"Beer Chang",3
1316,Budweiser,3
1316,Cass,1
1317,Guinness,2
1317,"Harp Lager",2
1317,Kronenbourg,4
1318,Guinness,2
1319,"Erdinger Pikantus",2
1319,"Potato skins",4
1319,"Stiegl Bier",4
1320,"Tater tots",1
1321,"Labatts Blue",4
1321,"Stiegl Bier",5
1322,Guinness,1
1322,Heineken,2
1322,Tuborg,1
1323,Dreher,3
1323,"Old Speckled Hen",5
1323,"Potato skins",5
1324,Union,2
1325,"Dos Equis",3
1325,Tsingtao,2
1326,Sprite,5
1326,"Tiger beer",2
1326,Warsteiner,4
1327,"Dos Equis",1
1328,Dreher,4
1328,Heineken,5
1328,"Tater tots",2
1329,Carlsberg,4
133,Quesadilla,5
1330,"Sweet tea",4
1331,"Harp Lager",5
1331,"Pilsner Urquell",2
1331,"Tiger beer",4
1332,Tsingtao,5
1333,"Club soda",2
1333,Dreher,5
1333,Lowenbrau,5
1333,"Old Speckled Hen",5
1334,Lowenbrau,3
1334,Timisoreana,1
1335,Hite,1
1335,Lasko,5
1336,"OB Golden Lager",5
1338,"Amstel Light",4
1338,Cheeseburger,5
1338,"Chimay Blue Top",5
1338,Dreher,2
1339,Asahi,3
1339,Cheeseburger,2
1339,"Efes Dark",1
134,Caffrey's,2
134,"Pilsner Urquell",1
134,"Potato skins",1
1340,"Carling Black Label",1
1340,"Coca cola",2
1340,Lasko,1
1340,"San Miguel Pale Pilsen",4
1341,Grolsch,2
1341,Guinness,1
1341,Lowenbrau,2
1341,Pretzel,2
1342,"Leffe Blonde",4
1342,Tsingtao,1
1343,"Leffe Blonde",4
1344,"Ichnusa beer",2
1344,Lowenbrau,5
1345,Timisoreana,1
1346,Caffrey's,2
1346,Carlsberg,2
1346,"Tater tots",5
1347,"Birra Moretti",4
1347,"Harp Lager",5
1347,"Root beer",3
1347,Tecate,1
1348,"Chimay Blue Top",1
1348,Duvel,1
1348,Guinness,5
1349,"Club soda",2
1349,Grolsch,2
1349,"Leffe Blonde",5
1349,Nachos,1
135,Peroni,3
1350,"Pabst Blue Ribbon",3
1351,"Gambrinus Premium",4
1352,Dreher,5
1352,"Stiegl Bier",2
1352,Tecate,3
1353,"Coreff Ambree",4
1353,Kirin,2
1353,"Potato skins",3
1353,Warsteiner,4
1354,"OB Golden Lager",4
1355,Kronenbourg,1
1356,Asahi,5
1356,Dreher,2
1357,Kirin,2
1357,"Leffe Blonde",2
1357,"Newcastle Brown Ale",5
1358,Cheeseburger,3
1358,"Ichnusa beer",1
1358,"Pilsner Urquell",2
1359,Cass,3
1359,Kirin,5
1359,Pretzel,3
136,"Birra Moretti",1
136,Budweiser,3
136,"Leffe Blonde",4
136,"Tater tots",2
1360,"Birra Moretti",4
1360,Tsingtao,3
1361,"Harp Lager",2
1361,Lowenbrau,3
1362,Carlsberg,4
1362,Lowenbrau,3
1362,Warsteiner,1
1363,"Harp Lager",2
1363,"Potato skins",4
1364,Quesadilla,4
1364,"Stiegl Bier",1
1365,Asahi,4
1366,"Dos Equis",1
1367,Guinness,1
1368,"Beer Chang",4
1368,Hite,3
1369,"Chimay Blue Top",5
1369,"Ichnusa beer",4
1369,"San Miguel Pale Pilsen",1
1369,"Tiger beer",4
137,"Amstel Light",1
137,"Harp Lager",2
137,"Tater tots",5
1370,"Coreff Ambree",3
1370,"Mythos Sindos",1
1370,Tsingtao,3
1371,Cheeseburger,2
1372,"Root beer",3
1373,"Club soda",2
1373,"San Miguel Pale Pilsen",1
1374,Kirin,5
1374,"Labatts Blue",3
1374,"Onion rings",4
1375,"Budvar Svetly Lezak",2
1375,"Paulaner Hefe",3
1376,"Newcastle Brown Ale",1
1377,Caffrey's,2
1378,"Carling Black Label",2
1379,"Stiegl Bier",2
1379,Tecate,5
138,Hite,5
138,"Old Speckled Hen",2
138,"Tater tots",5
1380,"Onion rings",3
1381,Dreher,3
1381,Kirin,4
1382,"Birra Moretti",4
1383,"Ichnusa beer",3
1383,Pretzel,2
1384,Sapporo,3
1384,"Sweet tea",3
1385,"Chimay Blue Top",2
1385,Hite,5
1386,Asahi,2
1386,Lowenbrau,5
1386,Pretzel,2
1386,"Root beer",5
1387,"Birra Moretti",5
1387,Carlsberg,1
1387,Warsteiner,2
1388,"Dos Equis",5
1388,"Newcastle Brown Ale",3
1389,Nachos,1
1389,"Paulaner Hefe",2
1389,Quesadilla,3
139,"Budvar Svetly Lezak",2
139,Carlsberg,4
139,"Leffe Blonde",3
1390,Lowenbrau,3
1390,"San Miguel Pale Pilsen",5
1390,"Tiger beer",4
1390,Tuborg,4
1391,Asahi,3
1391,"Chimay Blue Top",5
1391,Dreher,5
1391,Nachos,3
1392,Carlsberg,3
1392,"Onion rings",3
1392,"Root beer",5
1393,"Gambrinus Premium",3
1393,"Leffe Blonde",1
1393,"Tater tots",5
1394,"Club soda",2
1394,Coors,5
1395,"Budvar Svetly Lezak",4
1395,Budweiser,5
1395,"Pabst Blue Ribbon",1
1395,Pretzel,2
1396,"Budvar Svetly Lezak",1
1397,Dreher,3
1397,"Paulaner Hefe",3
1398,Cheeseburger,1
1398,"Club soda",5
1399,"Pabst Blue Ribbon",1
14,"Onion rings",5
14,"Tater tots",2
14,"Tiger beer",1
140,Duvel,1
1400,Cheeseburger,3
1400,"Leffe Blonde",5
1400,"Newcastle Brown Ale",1
1402,"Chimay Blue Top",5
1402,Dreher,1
1402,Quesadilla,3
1402,"Tiger beer",1
1403,Kirin,4
1403,"Onion rings",3
1404,Dreher,5
1405,"Coreff Ambree",2
1405,Heineken,3
1405,Quesadilla,5
1406,Caffrey's,1
1406,Kronenbourg,2
1407,"Labatts Blue",1
1407,"Onion rings",5
1408,Caffrey's,1
1408,"Dos Equis",1
1408,"OB Golden Lager",2
1409,Timisoreana,2
141,Budweiser,5
141,"Club soda",2
141,"Pabst Blue Ribbon",5
1410,Carlsberg,2
1410,"Root beer",5
1410,"San Miguel Pale Pilsen",2
1411,"Budvar Svetly Lezak",4
1411,"Gambrinus Premium",5
1411,"Harp Lager",4
1411,Sprite,4
1412,Hite,2
1413,Caffrey's,3
